#force lastTime lastAccelaration 
-42.0 2713800.128899 2516288.274370 
-42.0 4512800.214346 228067348.625232 
-42.0 4232200.201019 155593719.721868 
-42.0 4047800.192260 155982614.270891 
-40.0 3292600.156390 13946327.502091 
-40.0 4427400.210290 227735881.967278 
-40.0 3752800.178248 59425998.219370 
-40.0 5387600.255897 601458328.095621 
-40.0 5032400.239026 673158072.329472 
-40.0 5015000.238200 515879907.099455 
-40.0 5511200.261768 879300870.406975 
-40.0 3380200.160551 28569509.306818 
-40.0 4095400.194521 121084266.241860 
-40.0 4717400.224064 355596249.117675 
-40.0 4606600.218802 500607274.589888 
-40.0 3607400.171342 50802186.231381 
-40.0 4478000.212694 47018150.568964 
-40.0 5012600.238086 373026792.921728 
-40.0 3932200.186769 47061223.474446 
-40.0 6281200.298341 7059613753.507186 
-40.0 5674800.269539 5700790562.846461 
-40.0 5419800.257427 1632192144.261411 
-40.0 5234400.248621 810943315.794438 
-40.0 5116800.243035 1317919675.100584 
-38.0 3754200.178315 45846706.831166 
-38.0 5407400.256838 2220061144.847580 
-38.0 6015600.285726 1515982843.203756 
-38.0 5641200.267943 1319002898.833167 
-38.0 3938400.187064 120249565.972683 
-38.0 4153600.197285 55573533.447376 
-38.0 4507800.214109 446997466.577900 
-38.0 3863200.183492 90429682.328030 
-38.0 4863400.230999 322125395.106004 
-38.0 3728400.177089 31990834.850944 
-38.0 4632600.220037 221040776.533977 
-38.0 6408400.304383 7259051052.651084 
-38.0 4374000.207754 102553387.968821 
-38.0 4186600.198853 226302607.097929 
-38.0 3888600.184699 44322635.715113 
-38.0 3616000.171751 11445155.819651 
-38.0 4892800.232396 592095310.167667 
-38.0 5084600.241506 545256551.894716 
-38.0 4454200.211563 225091189.029894 
-38.0 3170200.150576 12510809.811710 
-36.0 4466200.212133 561869948.238124 
-36.0 5955400.282866 3086348713.066579 
-36.0 5774600.274279 3455824562.302801 
-36.0 4614800.219191 291982953.348949 
-36.0 4118200.195604 51825433.882329 
-36.0 4386000.208324 167195785.251931 
-36.0 6182800.293667 11852658998.408762 
-36.0 5219000.247889 621147843.423204 
-36.0 4065800.193115 34499307.711995 
-36.0 4263000.202482 378664799.539554 
-36.0 4822600.229061 379265407.523280 
-36.0 4407800.209359 211995681.316992 
-36.0 6200800.294522 4556682727.065221 
-36.0 5597200.265853 3077974428.497372 
-36.0 5467400.259688 1898194726.113939 
-36.0 5828800.276853 1987512357.996109 
-36.0 4485400.213045 183851523.281106 
-36.0 4843200.230040 421439666.094793 
-36.0 6485800.308059 2915806399.024114 
-36.0 2813200.133620 1563688.556678 
-34.0 5479800.260277 1230669491.062651 
-34.0 4917200.233554 411776098.679575 
-34.0 3207200.152334 8092998.570134 
-34.0 5949200.282572 3208334682.667474 
-34.0 6431200.305466 7086197848.461726 
-34.0 5357800.254482 1807373187.743101 
-34.0 4697000.223096 245382622.677593 
-34.0 4915400.233469 626326338.029395 
-34.0 5140400.244156 687332277.820461 
-34.0 5115600.242978 1127981300.604899 
-34.0 4385600.208305 154311690.761805 
-34.0 4096600.194578 63448401.889657 
-34.0 5613800.266641 3387809762.292506 
-34.0 3916400.186019 30790319.248190 
-34.0 4405600.209255 213226025.908126 
-34.0 5176400.245866 536059765.993946 
-34.0 4427200.210281 87879282.082355 
-34.0 6343200.301286 3832582186.413702 
-34.0 4877200.231655 1740879879.597045 
-34.0 4323400.205350 45370444.553988 
-32.0 4195000.199252 74732991.792626 
-32.0 4229000.200867 103108226.980824 
-32.0 6345800.301409 6865100698.901461 
-32.0 4843200.230040 411956855.503821 
-32.0 6045200.287132 6489639323.935150 
-32.0 4517200.214555 214706364.701248 
-32.0 5408000.256866 725065652.594930 
-32.0 5032400.239026 543158513.490672 
-32.0 3604400.171200 9176588.832296 
-32.0 6358200.301998 3828846224.146463 
-32.0 4665200.221585 245534927.736060 
-32.0 4878200.231702 512499215.627930 
-32.0 5852000.277955 1282829608.554861 
-32.0 4028000.191320 133751892.760414 
-32.0 5907600.280596 3965848740.964773 
-32.0 5828000.276815 12357755122.058151 
-32.0 4833200.229565 510848688.878504 
-32.0 6511800.309294 10369298839.303402 
-32.0 5104600.242455 309624391.373449 
-32.0 5460400.259355 1111553675.900491 
-30.0 6686800.317606 10791988554.804808 
-30.0 6935600.329423 15917604586.765785 
-30.0 3734600.177384 35150893.649734 
-30.0 6822000.324028 12034505534.405882 
-30.0 5182800.246170 1222487434.520250 
-30.0 4643600.220559 668485060.648541 
-30.0 4584000.217728 245583506.540501 
-30.0 5157000.244944 349568915.438410 
-30.0 4227600.200800 125537664.851781 
-30.0 6323000.300326 23079822080.327248 
-30.0 4576200.217358 175275697.998126 
-30.0 4286400.203593 124044170.135457 
-30.0 5101800.242322 1315609844.332261 
-30.0 5584200.265235 2657839795.970128 
-30.0 5801400.275552 9365813738.992794 
-30.0 5550800.263649 1259505756.382282 
-30.0 4873000.231455 453888298.793377 
-30.0 6409200.304421 16785801262.992706 
-30.0 5798600.275419 2112722128.487840 
-30.0 3908200.185630 48270229.420446 
-28.0 4695000.223001 849494901.335335 
-28.0 3250200.154376 30718915.658408 
-28.0 6339400.301105 8296424168.502597 
-28.0 5391800.256097 1109325293.517212 
-28.0 4887200.232130 318981655.112569 
-28.0 5625000.267173 2420295111.917033 
-28.0 5254600.249580 2987607791.765370 
-28.0 5670800.269349 2032943914.741858 
-28.0 6168000.292964 10841145354.089544 
-28.0 6936800.329480 55393360527.912575 
-28.0 5912000.280805 7610794974.333023 
-28.0 4578800.217481 293318599.763740 
-28.0 4012800.190598 42252946.481881 
-28.0 5459000.259289 1567799251.237484 
-28.0 5281800.250872 1115001900.119773 
-28.0 7396400.351310 26186981507.173420 
-28.0 6152000.292204 6647134688.754874 
-28.0 6952400.330221 25181885227.840160 
-28.0 4479200.212751 200085571.375775 
-28.0 4933400.234324 600616284.689411 
-26.0 5304800.251964 2155436433.804195 
-26.0 5419600.257417 2661324374.120720 
-26.0 5434200.258111 1416815123.608065 
-26.0 6114400.290418 5195602222.485204 
-26.0 5585000.265273 2593178238.218445 
-26.0 5608000.266366 4685274568.681424 
-26.0 5974000.283750 8221919391.966293 
-26.0 5298200.251651 881385778.533389 
-26.0 6298600.299167 7835213276.143956 
-26.0 6953000.330250 38446733817.931404 
-26.0 4981000.236585 850477520.649696 
-26.0 6298800.299177 6924620161.159012 
-26.0 4665800.221614 267157307.901030 
-26.0 5002800.237620 1245646645.965052 
-26.0 3702400.175855 68439591.609375 
-26.0 6463000.306976 8784737492.196764 
-26.0 4886200.232082 536275573.451665 
-26.0 5988600.284443 7554641336.152825 
-26.0 6241200.296441 6959146192.932906 
-26.0 4565600.216854 501523610.454713 
-24.0 5192800.246645 432922344.119747 
-24.0 7645800.363156 117349321855.473618 
-24.0 5848200.277775 2973776533.402175 
-24.0 6850600.325386 18337311695.403183 
-24.0 3192000.151612 15645800.864682 
-24.0 6150000.292109 2285455513.173936 
-24.0 5491600.260837 1823424609.758667 
-24.0 5140600.244165 2000113672.255348 
-24.0 5977400.283911 3108657883.822552 
-24.0 6024800.286163 4310524262.526374 
-24.0 3613000.171608 62073858.921250 
-24.0 5606000.266271 4340566348.973045 
-24.0 5572800.264694 1423884285.767079 
-24.0 4638000.220293 125397223.593790 
-24.0 4889400.232234 236259949.197806 
